Training 0.00 %,Trainning accuracy = 18.000001%, loss = 2.2903 
Training 79.80 %,Trainning accuracy = 90.000004%, loss = 0.2090 
Training 79.85 %,Trainning accuracy = 95.999998%, loss = 0.1958 
Training 79.90 %,Trainning accuracy = 94.000006%, loss = 0.1543 
Training 79.95 %,Trainning accuracy = 92.000002%, loss = 0.2707 
Training 80.00 %,Trainning accuracy = 96.000004%, loss = 0.1055 
Training 80.05 %,Trainning accuracy = 98.000002%, loss = 0.1315 
Training 80.10 %,Trainning accuracy = 91.999996%, loss = 0.2069 
Training 80.15 %,Trainning accuracy = 88.000005%, loss = 0.3648 
Training 80.20 %,Trainning accuracy = 94.000006%, loss = 0.2889 
Training 80.25 %,Trainning accuracy = 94.000006%, loss = 0.1856 
Training 80.30 %,Trainning accuracy = 98.000002%, loss = 0.0972 
Training 80.35 %,Trainning accuracy = 91.999996%, loss = 0.2531 
Training 80.40 %,Trainning accuracy = 87.999994%, loss = 0.2543 
Training 80.45 %,Trainning accuracy = 94.000000%, loss = 0.2428 
Training 80.50 %,Trainning accuracy = 94.000000%, loss = 0.1891 
Training 80.55 %,Trainning accuracy = 95.999998%, loss = 0.1199 
Training 80.60 %,Trainning accuracy = 97.999996%, loss = 0.1212 
Training 80.65 %,Trainning accuracy = 89.999998%, loss = 0.2222 
Training 80.70 %,Trainning accuracy = 88.000005%, loss = 0.2568 
Training 80.75 %,Trainning accuracy = 95.999998%, loss = 0.2104 
Training 80.80 %,Trainning accuracy = 92.000002%, loss = 0.2285 
Training 80.85 %,Trainning accuracy = 89.999998%, loss = 0.2182 
Training 80.90 %,Trainning accuracy = 95.999998%, loss = 0.1775 
Training 80.95 %,Trainning accuracy = 96.000004%, loss = 0.1504 
Training 81.00 %,Trainning accuracy = 89.999998%, loss = 0.2668 
Training 81.05 %,Trainning accuracy = 92.000002%, loss = 0.1810 
Training 81.10 %,Trainning accuracy = 93.999994%, loss = 0.1983 
Training 81.15 %,Trainning accuracy = 90.000004%, loss = 0.1892 
Training 81.20 %,Trainning accuracy = 94.000000%, loss = 0.2212 
Training 81.25 %,Trainning accuracy = 89.999998%, loss = 0.1952 
Training 81.30 %,Trainning accuracy = 86.000001%, loss = 0.2705 
Training 81.35 %,Trainning accuracy = 87.999994%, loss = 0.3440 
Training 81.40 %,Trainning accuracy = 94.000006%, loss = 0.1936 
Training 81.45 %,Trainning accuracy = 95.999998%, loss = 0.2272 
Training 81.50 %,Trainning accuracy = 90.000004%, loss = 0.2658 
Training 81.55 %,Trainning accuracy = 88.000000%, loss = 0.2519 
Training 81.60 %,Trainning accuracy = 90.000004%, loss = 0.2582 
Training 81.65 %,Trainning accuracy = 98.000002%, loss = 0.1273 
Training 81.70 %,Trainning accuracy = 94.000000%, loss = 0.1455 
Training 81.75 %,Trainning accuracy = 94.000006%, loss = 0.1560 
Training 81.80 %,Trainning accuracy = 88.000000%, loss = 0.2793 
Training 81.85 %,Trainning accuracy = 94.000000%, loss = 0.2318 
Training 81.90 %,Trainning accuracy = 85.999995%, loss = 0.4956 
Training 81.95 %,Trainning accuracy = 96.000004%, loss = 0.1371 
Training 82.00 %,Trainning accuracy = 94.000000%, loss = 0.2271 
Training 82.05 %,Trainning accuracy = 94.000000%, loss = 0.1905 
Training 82.10 %,Trainning accuracy = 85.999995%, loss = 0.2581 
Training 82.15 %,Trainning accuracy = 92.000002%, loss = 0.2891 
Training 82.20 %,Trainning accuracy = 94.000006%, loss = 0.1938 
Training 82.25 %,Trainning accuracy = 87.999994%, loss = 0.3400 
Training 82.30 %,Trainning accuracy = 88.000000%, loss = 0.2630 
Training 82.35 %,Trainning accuracy = 98.000002%, loss = 0.0991 
Training 82.40 %,Trainning accuracy = 88.000000%, loss = 0.3819 
Training 82.45 %,Trainning accuracy = 94.000000%, loss = 0.1387 
Training 82.50 %,Trainning accuracy = 86.000001%, loss = 0.3671 
Training 82.55 %,Trainning accuracy = 88.000005%, loss = 0.3969 
Training 82.60 %,Trainning accuracy = 90.000004%, loss = 0.2877 
Training 82.65 %,Trainning accuracy = 98.000002%, loss = 0.1227 
Training 82.70 %,Trainning accuracy = 92.000002%, loss = 0.2134 
Training 82.75 %,Trainning accuracy = 94.000000%, loss = 0.2496 
Training 82.80 %,Trainning accuracy = 94.000000%, loss = 0.2502 
Training 82.85 %,Trainning accuracy = 95.999998%, loss = 0.1242 
Training 82.90 %,Trainning accuracy = 92.000002%, loss = 0.2208 
Training 82.95 %,Trainning accuracy = 98.000002%, loss = 0.1234 
Training 83.00 %,Trainning accuracy = 94.000006%, loss = 0.1936 
Training 83.05 %,Trainning accuracy = 88.000000%, loss = 0.2197 
Training 83.10 %,Trainning accuracy = 90.000004%, loss = 0.2010 
Training 83.15 %,Trainning accuracy = 100.000000%, loss = 0.0806 
Training 83.20 %,Trainning accuracy = 90.000004%, loss = 0.2377 
Training 83.25 %,Trainning accuracy = 89.999998%, loss = 0.3445 
Training 83.30 %,Trainning accuracy = 94.000000%, loss = 0.1274 
Training 83.35 %,Trainning accuracy = 95.999998%, loss = 0.1080 
Training 83.40 %,Trainning accuracy = 98.000002%, loss = 0.0980 
Training 83.45 %,Trainning accuracy = 96.000004%, loss = 0.1534 
Training 83.50 %,Trainning accuracy = 94.000006%, loss = 0.2503 
Training 83.55 %,Trainning accuracy = 92.000002%, loss = 0.2052 
Training 83.60 %,Trainning accuracy = 94.000000%, loss = 0.1618 
Training 83.65 %,Trainning accuracy = 94.000000%, loss = 0.2526 
Training 83.70 %,Trainning accuracy = 92.000002%, loss = 0.2467 
Training 83.75 %,Trainning accuracy = 97.999996%, loss = 0.1941 
Training 83.80 %,Trainning accuracy = 88.000000%, loss = 0.4221 
Training 83.85 %,Trainning accuracy = 94.000000%, loss = 0.2372 
Training 83.90 %,Trainning accuracy = 95.999998%, loss = 0.0968 
Training 83.95 %,Trainning accuracy = 94.000000%, loss = 0.2492 
Training 84.00 %,Trainning accuracy = 95.999998%, loss = 0.1282 
Training 84.05 %,Trainning accuracy = 94.000000%, loss = 0.2344 
Training 84.10 %,Trainning accuracy = 89.999998%, loss = 0.3095 
Training 84.15 %,Trainning accuracy = 89.999998%, loss = 0.3346 
Training 84.20 %,Trainning accuracy = 98.000002%, loss = 0.1763 
Training 84.25 %,Trainning accuracy = 92.000002%, loss = 0.1529 
Training 84.30 %,Trainning accuracy = 88.000000%, loss = 0.2707 
Training 84.35 %,Trainning accuracy = 88.000000%, loss = 0.2688 
Training 84.40 %,Trainning accuracy = 94.000000%, loss = 0.1910 
Training 84.45 %,Trainning accuracy = 92.000002%, loss = 0.2644 
Training 84.50 %,Trainning accuracy = 90.000004%, loss = 0.2974 
Training 84.55 %,Trainning accuracy = 94.000000%, loss = 0.1487 
Training 84.60 %,Trainning accuracy = 92.000002%, loss = 0.2083 
Training 84.65 %,Trainning accuracy = 94.000000%, loss = 0.1407 
Training 84.70 %,Trainning accuracy = 87.999994%, loss = 0.3133 
Training 84.75 %,Trainning accuracy = 88.000000%, loss = 0.2580 
Training 84.80 %,Trainning accuracy = 85.999995%, loss = 0.2697 
Training 84.85 %,Trainning accuracy = 86.000001%, loss = 0.3406 
Training 84.90 %,Trainning accuracy = 94.000000%, loss = 0.2243 
Training 84.95 %,Trainning accuracy = 94.000000%, loss = 0.1500 
Training 85.00 %,Trainning accuracy = 98.000002%, loss = 0.0906 
Training 85.05 %,Trainning accuracy = 96.000004%, loss = 0.1926 
Training 85.10 %,Trainning accuracy = 95.999998%, loss = 0.1971 
Training 85.15 %,Trainning accuracy = 90.000004%, loss = 0.2132 
Training 85.20 %,Trainning accuracy = 84.000003%, loss = 0.2795 
Training 85.25 %,Trainning accuracy = 94.000000%, loss = 0.2521 
Training 85.30 %,Trainning accuracy = 98.000002%, loss = 0.1347 
Training 85.35 %,Trainning accuracy = 84.000003%, loss = 0.4203 
Training 85.40 %,Trainning accuracy = 88.000000%, loss = 0.2765 
Training 85.45 %,Trainning accuracy = 90.000004%, loss = 0.2447 
Training 85.50 %,Trainning accuracy = 86.000001%, loss = 0.3707 
Training 85.55 %,Trainning accuracy = 98.000002%, loss = 0.1372 
Training 85.60 %,Trainning accuracy = 96.000004%, loss = 0.1077 
Training 85.65 %,Trainning accuracy = 95.999998%, loss = 0.1132 
Training 85.70 %,Trainning accuracy = 92.000002%, loss = 0.2321 
Training 85.75 %,Trainning accuracy = 88.000000%, loss = 0.4107 
Training 85.80 %,Trainning accuracy = 92.000002%, loss = 0.2701 
Training 85.85 %,Trainning accuracy = 83.999997%, loss = 0.4578 
Training 85.90 %,Trainning accuracy = 96.000004%, loss = 0.1722 
Training 85.95 %,Trainning accuracy = 86.000001%, loss = 0.2402 
Training 86.00 %,Trainning accuracy = 95.999998%, loss = 0.1626 
Training 86.05 %,Trainning accuracy = 98.000002%, loss = 0.1406 
Training 86.10 %,Trainning accuracy = 100.000000%, loss = 0.0617 
Training 86.15 %,Trainning accuracy = 94.000000%, loss = 0.2255 
Training 86.20 %,Trainning accuracy = 84.000003%, loss = 0.4079 
Training 86.25 %,Trainning accuracy = 92.000002%, loss = 0.2107 
Training 86.30 %,Trainning accuracy = 97.999996%, loss = 0.1971 
Training 86.35 %,Trainning accuracy = 96.000004%, loss = 0.1895 
Training 86.40 %,Trainning accuracy = 89.999998%, loss = 0.2098 
Training 86.45 %,Trainning accuracy = 98.000002%, loss = 0.0759 
Training 86.50 %,Trainning accuracy = 88.000000%, loss = 0.2768 
Training 86.55 %,Trainning accuracy = 90.000004%, loss = 0.2635 
Training 86.60 %,Trainning accuracy = 92.000002%, loss = 0.1993 
Training 86.65 %,Trainning accuracy = 94.000000%, loss = 0.1494 
Training 86.70 %,Trainning accuracy = 98.000002%, loss = 0.1211 
Training 86.75 %,Trainning accuracy = 91.999996%, loss = 0.1472 
Training 86.80 %,Trainning accuracy = 95.999998%, loss = 0.1464 
Training 86.85 %,Trainning accuracy = 94.000000%, loss = 0.1979 
Training 86.90 %,Trainning accuracy = 86.000001%, loss = 0.4212 
Training 86.95 %,Trainning accuracy = 92.000002%, loss = 0.1232 
Training 87.00 %,Trainning accuracy = 94.000000%, loss = 0.1591 
Training 87.05 %,Trainning accuracy = 98.000002%, loss = 0.0870 
Training 87.10 %,Trainning accuracy = 94.000000%, loss = 0.1309 
Training 87.15 %,Trainning accuracy = 88.000000%, loss = 0.3466 
Training 87.20 %,Trainning accuracy = 91.999996%, loss = 0.2279 
Training 87.25 %,Trainning accuracy = 92.000002%, loss = 0.1945 
Training 87.30 %,Trainning accuracy = 98.000002%, loss = 0.1113 
Training 87.35 %,Trainning accuracy = 90.000004%, loss = 0.2751 
Training 87.40 %,Trainning accuracy = 95.999998%, loss = 0.1103 
Training 87.45 %,Trainning accuracy = 95.999998%, loss = 0.1226 
Training 87.50 %,Trainning accuracy = 96.000004%, loss = 0.1851 
Training 87.55 %,Trainning accuracy = 92.000002%, loss = 0.1665 
Training 87.60 %,Trainning accuracy = 94.000006%, loss = 0.1482 
Training 87.65 %,Trainning accuracy = 94.000000%, loss = 0.1713 
Training 87.70 %,Trainning accuracy = 94.000000%, loss = 0.1419 
Training 87.75 %,Trainning accuracy = 88.000000%, loss = 0.2741 
Training 87.80 %,Trainning accuracy = 90.000004%, loss = 0.2636 
Training 87.85 %,Trainning accuracy = 94.000006%, loss = 0.2509 
Training 87.90 %,Trainning accuracy = 94.000000%, loss = 0.2896 
Training 87.95 %,Trainning accuracy = 85.999995%, loss = 0.2963 
Training 88.00 %,Trainning accuracy = 88.000000%, loss = 0.1841 
Training 88.05 %,Trainning accuracy = 90.000004%, loss = 0.3000 
Training 88.10 %,Trainning accuracy = 83.999997%, loss = 0.3455 
Training 88.15 %,Trainning accuracy = 89.999998%, loss = 0.2572 
Training 88.20 %,Trainning accuracy = 95.999998%, loss = 0.2033 
Training 88.25 %,Trainning accuracy = 96.000004%, loss = 0.1026 
Training 88.30 %,Trainning accuracy = 94.000000%, loss = 0.1569 
Training 88.35 %,Trainning accuracy = 88.000000%, loss = 0.3447 
Training 88.40 %,Trainning accuracy = 94.000000%, loss = 0.1391 
Training 88.45 %,Trainning accuracy = 88.000000%, loss = 0.2870 
Training 88.50 %,Trainning accuracy = 97.999996%, loss = 0.1937 
Training 88.55 %,Trainning accuracy = 92.000002%, loss = 0.2176 
Training 88.60 %,Trainning accuracy = 95.999998%, loss = 0.2400 
Training 88.65 %,Trainning accuracy = 92.000002%, loss = 0.2856 
Training 88.70 %,Trainning accuracy = 92.000002%, loss = 0.1748 
Training 88.75 %,Trainning accuracy = 84.000003%, loss = 0.4374 
Training 88.80 %,Trainning accuracy = 92.000002%, loss = 0.1460 
Training 88.85 %,Trainning accuracy = 98.000002%, loss = 0.1087 
Training 88.90 %,Trainning accuracy = 91.999996%, loss = 0.3124 
Training 88.95 %,Trainning accuracy = 95.999998%, loss = 0.1401 
Training 89.00 %,Trainning accuracy = 92.000002%, loss = 0.2397 
Training 89.05 %,Trainning accuracy = 94.000000%, loss = 0.1339 
Training 89.10 %,Trainning accuracy = 94.000000%, loss = 0.1796 
Training 89.15 %,Trainning accuracy = 94.000000%, loss = 0.1561 
Training 89.20 %,Trainning accuracy = 90.000004%, loss = 0.3192 
Training 89.25 %,Trainning accuracy = 86.000001%, loss = 0.3344 
Training 89.30 %,Trainning accuracy = 96.000004%, loss = 0.1177 
Training 89.35 %,Trainning accuracy = 95.999998%, loss = 0.1378 
Training 89.40 %,Trainning accuracy = 98.000002%, loss = 0.1047 
Training 89.45 %,Trainning accuracy = 94.000000%, loss = 0.3183 
Training 89.50 %,Trainning accuracy = 94.000000%, loss = 0.1853 
Training 89.55 %,Trainning accuracy = 92.000002%, loss = 0.2132 
Training 89.60 %,Trainning accuracy = 96.000004%, loss = 0.2151 
Training 89.65 %,Trainning accuracy = 98.000002%, loss = 0.0746 
Training 89.70 %,Trainning accuracy = 95.999998%, loss = 0.1248 
Training 89.75 %,Trainning accuracy = 88.000000%, loss = 0.1996 
Training 89.80 %,Trainning accuracy = 88.000000%, loss = 0.3028 
Training 89.85 %,Trainning accuracy = 89.999998%, loss = 0.2292 
Training 89.90 %,Trainning accuracy = 92.000002%, loss = 0.1568 
Training 89.95 %,Trainning accuracy = 95.999998%, loss = 0.1725 
Training 90.00 %,Trainning accuracy = 95.999998%, loss = 0.1823 
Training 90.05 %,Trainning accuracy = 94.000000%, loss = 0.1783 
Training 90.10 %,Trainning accuracy = 89.999998%, loss = 0.2438 
Training 90.15 %,Trainning accuracy = 98.000002%, loss = 0.0673 
Training 90.20 %,Trainning accuracy = 97.999996%, loss = 0.0838 
Training 90.25 %,Trainning accuracy = 92.000002%, loss = 0.1816 
Training 90.30 %,Trainning accuracy = 94.000000%, loss = 0.2161 
Training 90.35 %,Trainning accuracy = 94.000000%, loss = 0.1389 
Training 90.40 %,Trainning accuracy = 94.000000%, loss = 0.1839 
Training 90.45 %,Trainning accuracy = 95.999998%, loss = 0.1575 
Training 90.50 %,Trainning accuracy = 89.999998%, loss = 0.2218 
Training 90.55 %,Trainning accuracy = 98.000002%, loss = 0.0984 
Training 90.60 %,Trainning accuracy = 94.000000%, loss = 0.1797 
Training 90.65 %,Trainning accuracy = 92.000002%, loss = 0.2648 
Training 90.70 %,Trainning accuracy = 94.000000%, loss = 0.2355 
Training 90.75 %,Trainning accuracy = 92.000002%, loss = 0.2235 
Training 90.80 %,Trainning accuracy = 89.999998%, loss = 0.3186 
Training 90.85 %,Trainning accuracy = 98.000002%, loss = 0.0779 
Training 90.90 %,Trainning accuracy = 91.999996%, loss = 0.2716 
Training 90.95 %,Trainning accuracy = 94.000000%, loss = 0.1672 
Training 91.00 %,Trainning accuracy = 94.000006%, loss = 0.1698 
Training 91.05 %,Trainning accuracy = 88.000000%, loss = 0.3945 
Training 91.10 %,Trainning accuracy = 95.999998%, loss = 0.2998 
Training 91.15 %,Trainning accuracy = 94.000000%, loss = 0.2614 
Training 91.20 %,Trainning accuracy = 86.000001%, loss = 0.2526 
Training 91.25 %,Trainning accuracy = 94.000000%, loss = 0.1425 
Training 91.30 %,Trainning accuracy = 92.000002%, loss = 0.1863 
Training 91.35 %,Trainning accuracy = 95.999998%, loss = 0.1185 
Training 91.40 %,Trainning accuracy = 96.000004%, loss = 0.0941 
Training 91.45 %,Trainning accuracy = 95.999998%, loss = 0.1135 
Training 91.50 %,Trainning accuracy = 100.000000%, loss = 0.0859 
Training 91.55 %,Trainning accuracy = 94.000000%, loss = 0.1692 
Training 91.60 %,Trainning accuracy = 88.000000%, loss = 0.2421 
Training 91.65 %,Trainning accuracy = 96.000004%, loss = 0.1754 
Training 91.70 %,Trainning accuracy = 91.999996%, loss = 0.2532 
Training 91.75 %,Trainning accuracy = 100.000000%, loss = 0.0772 
Training 91.80 %,Trainning accuracy = 89.999998%, loss = 0.4473 
Training 91.85 %,Trainning accuracy = 88.000000%, loss = 0.1951 
Training 91.90 %,Trainning accuracy = 88.000000%, loss = 0.4671 
Training 91.95 %,Trainning accuracy = 95.999998%, loss = 0.1450 
Training 92.00 %,Trainning accuracy = 92.000002%, loss = 0.1741 
Training 92.05 %,Trainning accuracy = 98.000002%, loss = 0.1141 
Training 92.10 %,Trainning accuracy = 92.000002%, loss = 0.1421 
Training 92.15 %,Trainning accuracy = 94.000000%, loss = 0.2018 
Training 92.20 %,Trainning accuracy = 88.000000%, loss = 0.2769 
Training 92.25 %,Trainning accuracy = 94.000000%, loss = 0.1828 
Training 92.30 %,Trainning accuracy = 94.000000%, loss = 0.2738 
Training 92.35 %,Trainning accuracy = 92.000002%, loss = 0.2239 
Training 92.40 %,Trainning accuracy = 88.000005%, loss = 0.3288 
Training 92.45 %,Trainning accuracy = 98.000002%, loss = 0.1024 
Training 92.50 %,Trainning accuracy = 98.000002%, loss = 0.1165 
Training 92.55 %,Trainning accuracy = 94.000006%, loss = 0.1804 
Training 92.60 %,Trainning accuracy = 92.000002%, loss = 0.2679 
Training 92.65 %,Trainning accuracy = 92.000002%, loss = 0.1783 
Training 92.70 %,Trainning accuracy = 91.999996%, loss = 0.2803 
Training 92.75 %,Trainning accuracy = 98.000002%, loss = 0.1765 
Training 92.80 %,Trainning accuracy = 96.000004%, loss = 0.2680 
Training 92.85 %,Trainning accuracy = 88.000000%, loss = 0.3477 
Training 92.90 %,Trainning accuracy = 94.000006%, loss = 0.1781 
Training 92.95 %,Trainning accuracy = 96.000004%, loss = 0.2176 
Training 93.00 %,Trainning accuracy = 96.000004%, loss = 0.1331 
Training 93.05 %,Trainning accuracy = 97.999996%, loss = 0.0969 
Training 93.10 %,Trainning accuracy = 94.000000%, loss = 0.1999 
Training 93.15 %,Trainning accuracy = 94.000006%, loss = 0.1300 
Training 93.20 %,Trainning accuracy = 86.000001%, loss = 0.3774 
Training 93.25 %,Trainning accuracy = 95.999998%, loss = 0.1323 
Training 93.30 %,Trainning accuracy = 94.000000%, loss = 0.2338 
Training 93.35 %,Trainning accuracy = 92.000002%, loss = 0.2085 
Training 93.40 %,Trainning accuracy = 89.999998%, loss = 0.3591 
Training 93.45 %,Trainning accuracy = 95.999998%, loss = 0.1160 
Training 93.50 %,Trainning accuracy = 96.000004%, loss = 0.0991 
Training 93.55 %,Trainning accuracy = 94.000000%, loss = 0.1142 
Training 93.60 %,Trainning accuracy = 91.999996%, loss = 0.1365 
Training 93.65 %,Trainning accuracy = 89.999998%, loss = 0.3914 
Training 93.70 %,Trainning accuracy = 94.000000%, loss = 0.2148 
Training 93.75 %,Trainning accuracy = 88.000005%, loss = 0.3805 
Training 93.80 %,Trainning accuracy = 94.000006%, loss = 0.2125 
Training 93.85 %,Trainning accuracy = 92.000002%, loss = 0.1517 
Training 93.90 %,Trainning accuracy = 98.000002%, loss = 0.0902 
Training 93.95 %,Trainning accuracy = 91.999996%, loss = 0.1380 
Training 94.00 %,Trainning accuracy = 94.000006%, loss = 0.1905 
Training 94.05 %,Trainning accuracy = 92.000002%, loss = 0.1239 
Training 94.10 %,Trainning accuracy = 95.999998%, loss = 0.2186 
Training 94.15 %,Trainning accuracy = 83.999991%, loss = 0.3056 
Training 94.20 %,Trainning accuracy = 91.999996%, loss = 0.2010 
Training 94.25 %,Trainning accuracy = 82.000005%, loss = 0.3657 
Training 94.30 %,Trainning accuracy = 98.000002%, loss = 0.1087 
Training 94.35 %,Trainning accuracy = 94.000000%, loss = 0.2082 
Training 94.40 %,Trainning accuracy = 95.999998%, loss = 0.1608 
Training 94.45 %,Trainning accuracy = 91.999996%, loss = 0.2110 
Training 94.50 %,Trainning accuracy = 97.999996%, loss = 0.1136 
Training 94.55 %,Trainning accuracy = 100.000000%, loss = 0.0796 
Training 94.60 %,Trainning accuracy = 85.999995%, loss = 0.2995 
Training 94.65 %,Trainning accuracy = 91.999996%, loss = 0.1501 
Training 94.70 %,Trainning accuracy = 92.000002%, loss = 0.2022 
Training 94.75 %,Trainning accuracy = 87.999994%, loss = 0.2324 
Training 94.80 %,Trainning accuracy = 85.999995%, loss = 0.4140 
Training 94.85 %,Trainning accuracy = 94.000000%, loss = 0.3102 
Training 94.90 %,Trainning accuracy = 97.999996%, loss = 0.2010 
Training 94.95 %,Trainning accuracy = 100.000000%, loss = 0.0687 
Training 95.00 %,Trainning accuracy = 94.000000%, loss = 0.2100 
Training 95.05 %,Trainning accuracy = 98.000002%, loss = 0.1607 
Training 95.10 %,Trainning accuracy = 89.999998%, loss = 0.2757 
Training 95.15 %,Trainning accuracy = 89.999998%, loss = 0.3562 
Training 95.20 %,Trainning accuracy = 98.000002%, loss = 0.0793 
Training 95.25 %,Trainning accuracy = 94.000000%, loss = 0.1085 
Training 95.30 %,Trainning accuracy = 98.000002%, loss = 0.1242 
Training 95.35 %,Trainning accuracy = 89.999998%, loss = 0.2105 
Training 95.40 %,Trainning accuracy = 92.000002%, loss = 0.2032 
Training 95.45 %,Trainning accuracy = 95.999998%, loss = 0.1407 
Training 95.50 %,Trainning accuracy = 89.999998%, loss = 0.2468 
Training 95.55 %,Trainning accuracy = 95.999998%, loss = 0.1119 
Training 95.60 %,Trainning accuracy = 94.000000%, loss = 0.1948 
Training 95.65 %,Trainning accuracy = 91.999996%, loss = 0.2715 
Training 95.70 %,Trainning accuracy = 86.000001%, loss = 0.2455 
Training 95.75 %,Trainning accuracy = 87.999994%, loss = 0.2358 
Training 95.80 %,Trainning accuracy = 89.999998%, loss = 0.2152 
Training 95.85 %,Trainning accuracy = 92.000002%, loss = 0.1701 
Training 95.90 %,Trainning accuracy = 91.999996%, loss = 0.1738 
Training 95.95 %,Trainning accuracy = 94.000006%, loss = 0.1685 
Training 96.00 %,Trainning accuracy = 95.999998%, loss = 0.1314 
Training 96.05 %,Trainning accuracy = 91.999996%, loss = 0.2198 
Training 96.10 %,Trainning accuracy = 95.999998%, loss = 0.1659 
Training 96.15 %,Trainning accuracy = 94.000000%, loss = 0.1114 
Training 96.20 %,Trainning accuracy = 89.999998%, loss = 0.2079 
Training 96.25 %,Trainning accuracy = 94.000006%, loss = 0.1704 
Training 96.30 %,Trainning accuracy = 90.000004%, loss = 0.1356 
Training 96.35 %,Trainning accuracy = 98.000002%, loss = 0.1237 
Training 96.40 %,Trainning accuracy = 88.000000%, loss = 0.3194 
Training 96.45 %,Trainning accuracy = 94.000000%, loss = 0.2220 
Training 96.50 %,Trainning accuracy = 94.000000%, loss = 0.1485 
Training 96.55 %,Trainning accuracy = 89.999998%, loss = 0.2686 
Training 96.60 %,Trainning accuracy = 92.000002%, loss = 0.2435 
Training 96.65 %,Trainning accuracy = 96.000004%, loss = 0.1974 
Training 96.70 %,Trainning accuracy = 96.000004%, loss = 0.1192 
Training 96.75 %,Trainning accuracy = 90.000004%, loss = 0.3447 
Training 96.80 %,Trainning accuracy = 92.000002%, loss = 0.2484 
Training 96.85 %,Trainning accuracy = 92.000002%, loss = 0.2323 
Training 96.90 %,Trainning accuracy = 89.999998%, loss = 0.2830 
Training 96.95 %,Trainning accuracy = 98.000002%, loss = 0.0653 
Training 97.00 %,Trainning accuracy = 90.000004%, loss = 0.2770 
Training 97.05 %,Trainning accuracy = 98.000002%, loss = 0.1058 
Training 97.10 %,Trainning accuracy = 95.999998%, loss = 0.1425 
Training 97.15 %,Trainning accuracy = 96.000004%, loss = 0.1138 
Training 97.20 %,Trainning accuracy = 92.000002%, loss = 0.1790 
Training 97.25 %,Trainning accuracy = 97.999996%, loss = 0.0581 
Training 97.30 %,Trainning accuracy = 91.999996%, loss = 0.1906 
Training 97.35 %,Trainning accuracy = 94.000000%, loss = 0.3655 
Training 97.40 %,Trainning accuracy = 98.000002%, loss = 0.1294 
Training 97.45 %,Trainning accuracy = 92.000002%, loss = 0.1995 
Training 97.50 %,Trainning accuracy = 95.999998%, loss = 0.1224 
Training 97.55 %,Trainning accuracy = 86.000001%, loss = 0.3176 
Training 97.60 %,Trainning accuracy = 95.999998%, loss = 0.1395 
Training 97.65 %,Trainning accuracy = 100.000000%, loss = 0.0715 
Training 97.70 %,Trainning accuracy = 95.999998%, loss = 0.1124 
Training 97.75 %,Trainning accuracy = 90.000004%, loss = 0.2391 
Training 97.80 %,Trainning accuracy = 92.000002%, loss = 0.2144 
Training 97.85 %,Trainning accuracy = 88.000000%, loss = 0.3450 
Training 97.90 %,Trainning accuracy = 95.999998%, loss = 0.1752 
Training 97.95 %,Trainning accuracy = 97.999996%, loss = 0.1075 
Training 98.00 %,Trainning accuracy = 95.999998%, loss = 0.1050 
Training 98.05 %,Trainning accuracy = 92.000002%, loss = 0.2156 
Training 98.10 %,Trainning accuracy = 92.000002%, loss = 0.2278 
Training 98.15 %,Trainning accuracy = 92.000002%, loss = 0.3655 
Training 98.20 %,Trainning accuracy = 95.999998%, loss = 0.0920 
Training 98.25 %,Trainning accuracy = 92.000002%, loss = 0.1796 
Training 98.30 %,Trainning accuracy = 96.000004%, loss = 0.2569 
Training 98.35 %,Trainning accuracy = 94.000000%, loss = 0.1799 
Training 98.40 %,Trainning accuracy = 81.999993%, loss = 0.4570 
Training 98.45 %,Trainning accuracy = 97.999996%, loss = 0.1011 
Training 98.50 %,Trainning accuracy = 92.000002%, loss = 0.2158 
Training 98.55 %,Trainning accuracy = 100.000000%, loss = 0.0772 
Training 98.60 %,Trainning accuracy = 95.999998%, loss = 0.1524 
Training 98.65 %,Trainning accuracy = 97.999996%, loss = 0.0908 
Training 98.70 %,Trainning accuracy = 94.000000%, loss = 0.1435 
Training 98.75 %,Trainning accuracy = 92.000002%, loss = 0.1852 
Training 98.80 %,Trainning accuracy = 88.000000%, loss = 0.2260 
Training 98.85 %,Trainning accuracy = 95.999998%, loss = 0.1189 
Training 98.90 %,Trainning accuracy = 90.000004%, loss = 0.2396 
Training 98.95 %,Trainning accuracy = 92.000002%, loss = 0.1071 
Training 99.00 %,Trainning accuracy = 95.999998%, loss = 0.1560 
Training 99.05 %,Trainning accuracy = 96.000004%, loss = 0.1343 
Training 99.10 %,Trainning accuracy = 95.999998%, loss = 0.1186 
Training 99.15 %,Trainning accuracy = 88.000000%, loss = 0.3016 
Training 99.20 %,Trainning accuracy = 92.000002%, loss = 0.2668 
Training 99.25 %,Trainning accuracy = 89.999998%, loss = 0.2428 
Training 99.30 %,Trainning accuracy = 98.000002%, loss = 0.2546 
Training 99.35 %,Trainning accuracy = 86.000001%, loss = 0.2549 
Training 99.40 %,Trainning accuracy = 94.000000%, loss = 0.1562 
Training 99.45 %,Trainning accuracy = 95.999998%, loss = 0.1150 
Training 99.50 %,Trainning accuracy = 94.000000%, loss = 0.1383 
Training 99.55 %,Trainning accuracy = 98.000002%, loss = 0.0869 
Training 99.60 %,Trainning accuracy = 88.000000%, loss = 0.2938 
Training 99.65 %,Trainning accuracy = 98.000002%, loss = 0.1147 
Training 99.70 %,Trainning accuracy = 89.999998%, loss = 0.1767 
